year,month,day,hour,use,temp,humid
2017,1,7,22,133.94946056886735,8.7,60.0
2017,1,7,23,134.08275619735727,8.1,64.0
2017,1,7,24,134.1062556296989,7.7,71.0
2017,1,8,1,134.32146624770172,6.6,86.0
2017,1,8,2,134.41131415956846,5.8,96.0
2017,1,8,3,122.43316472893937,5.6,97.0
2017,1,8,4,70.95583180099096,5.9,90.0
2017,1,8,5,70.29239891987939,6.2,88.0
2017,1,8,6,70.18554636590221,6.4,88.0
2017,1,8,7,70.19973438980013,6.6,85.0
2017,1,8,8,70.36449219600186,6.7,84.0
2017,1,8,9,74.20865470556964,7.9,78.0
2017,1,8,10,86.1162406703603,9.3,70.0
2017,1,8,11,96.02307557685744,10.2,64.0
2017,1,8,12,102.49636120414347,11.3,59.0
2017,1,8,13,103.84008028428288,12.1,54.0
2017,1,8,14,102.70185393703505,13.9,53.0
2017,1,8,15,97.25962951362591,14.0,48.0
2017,1,8,16,86.05222611800501,12.7,51.0
2017,1,8,17,75.3915283174323,11.0,57.0
2017,1,8,18,71.44531696863488,9.2,64.0
2017,1,8,19,71.9405491419885,8.8,67.0
2017,1,8,20,71.8720732872958,8.2,73.0
2017,1,8,21,71.02708671898665,8.0,76.0
2017,1,8,22,70.26799154237278,7.8,80.0
2017,1,8,23,70.10448630285849,7.5,78.0
2017,1,8,24,69.63412762971176,7.3,80.0
2017,1,9,1,69.62294510313001,7.2,84.0
2017,1,9,2,69.59291332564769,6.9,82.0
2017,1,9,3,69.45609968578253,5.9,94.0
2017,1,9,4,69.34037423215788,5.5,91.0
2017,1,9,5,69.28945750676883,5.5,77.0
2017,1,9,6,69.22967009084462,5.3,77.0
2017,1,9,7,69.20697698450108,5.1,75.0
2017,1,9,8,69.41430990795818,5.0,73.0
2017,1,9,9,70.32105994316495,5.1,71.0
2017,1,9,10,75.393554073433,5.2,82.0
2017,1,9,11,86.6841294434789,6.0,72.0
2017,1,9,12,93.03219374781753,6.8,52.0
2017,1,9,13,92.81738077003293,7.5,50.0
2017,1,9,14,84.5140885850519,8.4,48.0
2017,1,9,15,80.31171740766638,7.9,42.0
2017,1,9,16,77.67123503438052,7.5,47.0
2017,1,9,17,90.74147350138034,6.2,52.0
2017,1,9,18,132.16885528550742,4.8,60.0
2017,1,9,19,133.2568983326576,4.0,63.0
2017,1,9,20,132.75572916993448,3.4,66.0
2017,1,9,21,131.75214380058162,3.0,65.0
2017,1,9,22,131.5235680530214,2.7,67.0
2017,1,9,23,131.71425531512065,2.3,63.0
2017,1,9,24,131.9876429061638,1.7,64.0
2017,1,10,1,132.53334556421714,1.6,67.0
2017,1,10,2,132.70611802992866,0.9,68.0
2017,1,10,3,132.9988706996,1.5,65.0
2017,1,10,4,133.20445731976534,1.4,66.0
2017,1,10,5,133.0399193202398,1.7,63.0
2017,1,10,6,133.16570507138582,2.1,60.0
2017,1,10,7,133.32318274792533,2.3,59.0
2017,1,10,8,133.57835620786096,2.4,58.0
2017,1,10,9,136.94560118979342,2.9,58.0
2017,1,10,10,144.22744954139813,3.5,55.0
2017,1,10,11,154.05826447461772,3.6,57.0
2017,1,10,12,159.99243391224306,4.4,49.0
2017,1,10,13,160.7824688115042,5.0,47.0
2017,1,10,14,158.64118507274884,5.8,44.0
2017,1,10,15,152.49413452606584,5.8,43.0
2017,1,10,16,142.4736043401694,5.2,51.0
2017,1,10,17,132.78082910415452,4.4,60.0
2017,1,10,18,130.9755734409324,3.3,71.0
2017,1,10,19,132.24659947095353,3.0,68.0
2017,1,10,20,132.08714463888444,2.2,60.0
2017,1,10,21,131.01708376604785,1.3,57.0
2017,1,10,22,130.37493789128587,1.0,57.0
2017,1,10,23,130.22816336395388,1.1,55.0
2017,1,10,24,118.65657565168011,0.9,56.0
